RegionID,RegionName,State,SizeRank,MedianPricePerSF,MedianSoldPrice,Business Intelligence (Dice),Business Intelligence (Indeed),Java (Dice),Java (Indeed),.NET (Dice),.NET (Indeed),Data Analyst (Dice),Data Analyst (Indeed),SQL Server (Dice),SQL Server (Indeed)
6181,New York,NY,1,509.9128,551600.0,233,234,1566,806,568,523,74,59,535,252
12447,Los Angeles,CA,2,411.2898,606800.0,108,74,479,219,312,260,16,25,239,97
17426,Chicago,IL,3,225.4799,297100.0,88,120,453,364,293,331,20,32,290,193
13271,Philadelphia,PA,4,125.8384,158800.0,89,53,395,188,226,230,32,22,234,102
40326,Phoenix,AZ,5,135.2148,212900.0,38,57,176,142,119,150,7,17,94,66
18959,Las Vegas,NV,6,120.1227,201350.0,10,9,21,21,15,35,0,3,17,16
54296,San Diego,CA,7,374.0997,523550.0,24,39,137,98,92,106,9,14,87,50
38128,Dallas,TX,8,152.2846,280038.1,83,123,485,286,283,260,24,33,293,119
33839,San Jose,CA,9,531.5886,798000.0,172,96,1266,629,201,145,49,32,236,56
25290,Jacksonville,FL,10,99.6811,165265.0,4,8,34,26,28,50,1,4,30,20
20330,San Francisco,CA,11,958.0964,1180325.0,173,93,1222,512,198,179,49,42,233,85
18172,Fort Worth,TX,12,90.6067,178622.1,75,60,399,82,250,110,23,14,269,53
17762,Detroit,MI,13,31.3145,36525.0,87,43,228,118,118,100,14,14,125,63
10920,Columbus,OH,14,101.4036,146350.0,28,36,121,81,73,98,16,22,57,39
32811,Memphis,TN,15,71.5707,122125.0,1,9,15,29,11,34,0,3,9,6
24043,Charlotte,NC,16,115.0873,203825.0,45,52,182,106,123,140,16,26,122,84
44269,Boston,MA,17,544.6779,541000.0,56,115,387,392,171,318,18,29,189,150
16037,Seattle,WA,18,429.009,544000.0,36,107,354,457,123,230,5,24,99,122
3523,Baltimore,MD,19,134.0882,176250.0,124,38,817,254,353,183,34,14,320,73
11093,Denver,CO,20,295.5792,352750.0,32,55,196,171,71,167,10,15,59,68
41568,Washington,DC,21,516.0635,550175.0,173,183,1352,997,464,512,48,82,481,358
6118,Nashville,TN,22,134.1751,222700.0,24,28,89,48,51,80,3,19,49,43
5976,Milwaukee,WI,23,108.6845,130260.0,15,25,56,28,58,59,6,8,36,16
7481,Tucson,AZ,24,108.1207,161315.0,1,4,6,6,7,10,0,6,6,5
13373,Portland,OR,25,297.6516,382725.0,15,22,180,108,33,82,13,26,58,29
33225,Oklahoma City,OK,26,87.796,147400.0,1,4,16,7,23,23,13,3,28,8
40152,Omaha,NE,27,104.7826,174200.0,12,10,37,35,20,32,2,2,21,10
18203,Fresno,CA,28,133.3933,217500.0,0,1,0,1,0,3,0,4,0,0
20288,Sacramento,CA,29,185.7095,256500.0,15,14,48,30,38,52,1,1,46,26
19331,Mesa,AZ,30,128.9542,204425.0,38,57,176,142,119,148,7,17,94,66
46298,Long Beach,CA,31,400.3091,500000.0,106,77,466,217,299,306,15,30,233,108
41515,Virginia Beach,VA,32,146.172,249125.0,2,4,41,10,18,34,1,2,28,13
4172,Colorado Springs,CO,33,125.4351,234485.0,3,5,37,26,19,33,3,0,12,15
37211,Atlanta,GA,34,215.6885,266875.0,114,86,441,313,252,275,14,26,237,186
12700,Miami,FL,35,308.2172,320250.0,44,41,73,62,80,128,4,6,62,37
13072,Oakland,CA,36,492.6624,591250.0,175,102,1275,585,205,206,51,47,243,103
20859,Tulsa,OK,37,80.532,135800.0,0,5,12,9,12,11,0,1,12,12
24115,Cleveland,OH,38,58.7021,68490.0,17,19,46,37,40,79,0,9,33,36
18615,Honolulu,HI,39,579.2901,498750.0,1,2,2,3,3,13,0,1,0,4
5983,Minneapolis,MN,40,212.6418,240050.0,49,50,243,161,128,170,21,20,114,81
19594,New Orleans,LA,41,175.2352,247825.0,3,4,28,7,16,15,0,2,10,5
50763,Arlington,TX,42,92.2572,172433.85,78,118,482,210,275,237,23,31,288,110
54047,Raleigh,NC,43,122.8189,219700.0,15,32,172,144,83,98,5,6,45,37
41176,Tampa,FL,44,148.3221,230215.0,20,28,136,80,109,121,10,14,83,75
16764,Anaheim,CA,45,339.0375,527375.0,108,69,442,168,287,291,15,29,229,99
47568,Santa Ana,CA,46,334.2761,429750.0,100,38,397,88,273,179,14,21,218,69
16846,Aurora,CO,47,180.6236,264650.0,32,53,196,156,71,159,10,13,59,65
6891,Saint Louis,MO,48,127.4106,156215.0,18,27,106,62,70,101,6,16,60,49
4099,Cincinnati,OH,49,101.3038,145090.5,18,37,82,65,54,89,2,7,69,40
26529,Pittsburgh,PA,50,120.3191,167485.0,17,28,69,84,39,81,2,2,29,45
47401,Riverside,CA,51,211.9014,348125.0,34,8,132,21,133,41,9,4,102,4
12562,Marietta,GA,52,121.7649,254800.0,114,92,441,316,252,275,14,25,237,186
3506,Bakersfield,CA,53,130.0294,220535.0,0,0,0,0,1,8,0,0,0,0
20313,Saint Paul,MN,54,159.9779,186260.0,50,51,243,162,128,174,21,20,114,81
34303,Toledo,OH,55,62.3335,81250.0,5,4,4,3,6,18,0,1,7,1
7081,Silver Spring,MD,56,252.2262,378715.0,174,196,1366,1041,485,530,51,86,491,371
25574,Lexington,KY,57,106.08200000000001,169500.0,1,2,5,10,15,27,0,3,10,18
47945,Tallahassee,FL,59,114.0997,176600.0,5,2,5,4,5,10,2,2,7,3
7266,Stockton,CA,60,143.2217,232600.0,18,0,71,1,34,6,3,1,37,1
53915,Plano,TX,61,123.01899999999999,298005.8,81,97,466,274,269,232,24,34,274,112
17222,Buffalo,NY,62,51.2816,78265.0,3,8,16,12,10,24,0,5,8,13
17384,Chandler,AZ,63,148.232,262650.0,38,54,176,136,119,145,7,16,94,66
12455,Louisville,KY,64,107.6117,137550.0,2,5,16,10,16,35,1,1,19,8
11867,Henderson,NV,65,137.8904,257015.0,10,9,21,21,15,34,0,3,17,15
25934,Modesto,CA,66,158.3813,247000.0,3,0,3,3,3,9,0,1,4,1
32900,Mobile,AL,67,80.7327,139232.0,0,4,1,2,2,8,0,0,4,3
18298,Glendale,AZ,69,117.6337,205225.0,38,56,176,133,119,128,7,17,94,54
24457,Durham,NC,70,114.0603,192250.0,15,32,172,142,85,100,5,5,46,36
13121,Orlando,FL,71,119.0601,195750.0,18,35,98,77,36,96,2,2,39,49
6210,Norfolk,VA,72,130.6217,207822.5,2,5,42,16,19,43,1,2,28,21
26922,Saint Petersburg,FL,73,150.3594,191350.0,21,27,138,71,110,123,9,14,85,71
53856,Pensacola,FL,74,82.2617,138150.0,1,2,6,7,6,11,0,0,10,3
11722,Greensboro,NC,75,95.2911,160350.0,6,7,7,10,23,27,0,2,22,10
32503,Lincoln,NE,76,127.0965,157350.0,1,2,2,4,3,10,0,1,2,4
20328,San Bernardino,CA,77,176.7632,233200.0,14,8,63,10,69,29,4,4,53,4
24225,Corona,CA,78,231.8161,413875.0,64,33,220,75,192,144,11,19,151,49
51405,Chula Vista,CA,79,263.6702,476350.0,23,36,134,96,89,104,9,14,85,50
44564,Chesapeake,VA,80,125.4651,235300.0,2,5,41,16,18,43,1,2,28,21
25104,Hialeah,FL,81,152.1606,198000.0,45,45,79,64,85,141,5,8,67,41
398849,Madison,WI,82,157.2668,217500.0,12,4,50,22,47,31,1,2,52,22
18251,Garland,TX,83,92.5587,156805.95,75,95,454,270,259,236,24,32,261,113
24741,Fontana,CA,84,198.7085,345350.0,45,8,146,12,139,31,10,4,105,5
31614,Fort Myers,FL,85,133.6255,196050.0,5,3,6,2,8,16,0,2,9,1
26187,North Las Vegas,NV,87,104.5415,193575.0,10,9,21,21,15,35,0,3,17,16
5573,Lawrenceville,GA,88,85.0419,174950.0,113,39,441,134,250,146,15,10,236,94
11540,Fremont,CA,89,570.9729,850375.0,174,115,1275,747,205,191,51,40,242,79
30258,Arlington,VA,91,460.6647,540694.25,169,188,1327,990,463,502,47,84,476,352
12065,Irving,TX,92,116.0469,212702.8,83,134,486,299,283,296,24,36,293,135
4888,Gilbert,AZ,93,138.1855,270250.0,38,57,176,136,119,146,7,16,94,66
54346,Scottsdale,AZ,94,202.0503,393100.0,38,57,176,142,119,149,7,17,94,66
13550,Rochester,NY,95,59.6363,84925.0,3,17,5,21,12,32,0,5,11,16
41760,Winston-Salem,NC,96,80.8953,141150.0,6,5,8,5,22,29,0,1,21,12
52650,Irvine,CA,97,431.2178,739900.0,83,33,316,87,244,160,12,20,193,64
6752,Richmond,VA,98,164.5147,240985.0,13,13,88,64,32,65,19,20,52,30
10477,Boca Raton,FL,99,171.1536,290750.0,43,30,75,42,78,106,7,7,61,39
13150,Oxnard,CA,100,261.4915,437300.0,6,7,51,12,40,15,1,2,23,10
44282,Bradenton,FL,101,134.8298,211820.0,11,4,55,15,53,45,5,2,59,16
32931,Montgomery,AL,102,67.7005,132625.0,0,3,0,1,0,3,0,0,1,2
26967,Santa Rosa,CA,103,322.8515,482175.0,3,1,7,0,4,11,0,0,7,5
17759,Des Moines,IA,104,110.7367,121225.0,1,6,43,37,52,54,2,3,29,29
13478,Reno,NV,105,173.2382,291375.0,0,1,3,1,0,13,0,0,1,4
20604,Spokane,WA,106,134.0234,177250.0,1,2,4,3,5,11,1,0,4,4
10210,Augusta,GA,107,67.5031,101849.65,2,3,3,3,0,10,0,1,2,3
27362,Tacoma,WA,108,168.5536,236875.0,36,70,357,300,125,122,5,10,109,63
11671,Grand Rapids,MI,109,97.4908,121965.0,6,5,20,9,16,22,2,2,21,12
6285,Oceanside,CA,110,278.4905,448175.0,25,11,151,22,107,23,9,3,103,5
24821,Gainesville,FL,111,108.0211,174125.0,0,0,2,3,4,11,0,1,1,4
14701,Woodbridge,VA,112,192.6691,288750.0,145,167,1164,781,398,423,38,74,398,298
53673,Ocala,FL,113,74.8553,113100.0,0,0,1,0,4,7,0,0,1,0
45457,Glendale,CA,114,444.7387,672350.0,87,70,369,209,218,245,11,22,186,90
24960,Greenville,SC,115,102.8923,176300.0,5,1,10,9,9,18,1,0,4,4
10417,Birmingham,AL,116,106.8144,163230.8,10,7,13,15,7,40,1,5,14,14
25218,Huntington Beach,CA,117,445.7375,707650.0,106,39,437,95,287,175,15,18,225,71
30141,Akron,OH,118,59.6986,76100.0,17,10,47,21,40,46,0,2,34,15
54288,Salinas,CA,120,268.3883,409550.0,0,2,11,3,6,7,0,0,5,1
14724,Worcester,MA,121,143.2649,193500.0,55,9,377,41,153,29,17,2,168,15
25981,Moreno Valley,CA,122,164.9955,278675.0,15,8,81,10,86,27,4,4,69,6
52998,Little Rock,AR,123,99.7917,185715.0,2,6,13,6,8,16,3,1,7,11
33501,Port Saint Lucie,FL,124,105.6571,177500.0,1,0,1,0,0,14,0,1,1,1
26637,Providence,RI,125,147.1518,177000.0,17,7,124,20,47,24,5,3,53,18
5534,Lancaster,CA,126,127.2985,222350.0,12,0,59,8,26,3,1,0,27,2
4764,Fort Collins,CO,127,184.6601,327400.0,3,6,18,10,6,20,1,1,5,7
18518,Hayward,CA,129,371.4483,529750.0,176,170,1282,1003,206,286,51,63,242,141
31606,Fort Lauderdale,FL,130,249.1126,334375.0,47,47,80,77,87,172,5,11,67,56
17539,Columbus,GA,131,70.2256,118035.0,0,2,1,3,4,5,0,1,1,0
10215,Aurora,IL,132,120.3078,174150.0,88,29,450,50,291,87,20,5,285,39
13108,Ontario,CA,133,238.3352,348250.0,75,18,258,28,212,72,12,13,170,20
31821,Grand Prairie,TX,135,87.8571,180826.0,83,121,487,221,283,252,24,34,293,117
40492,Rancho Cucamonga,CA,136,252.2808,450150.0,67,11,226,15,193,42,11,6,151,11
26140,Newport News,VA,137,113.6757,183015.0,2,5,42,20,19,34,1,1,28,18
24832,Garden Grove,CA,138,347.8872,491250.0,107,44,437,103,287,199,15,23,227,79
6792,Roanoke,VA,139,116.1853,161775.0,2,0,5,1,3,9,2,1,3,0
47958,Tempe,AZ,140,152.0122,240600.0,38,57,176,143,119,148,7,17,94,66
48215,Vancouver,WA,141,175.1836,259665.0,13,22,180,108,33,82,13,26,56,29
12014,Huntsville,AL,142,90.8583,166962.5,2,2,34,37,4,22,0,1,4,8
38333,El Cajon,CA,143,273.29900000000004,423250.0,24,38,137,97,92,116,9,14,87,50
40227,Palmdale,CA,144,140.7574,243475.0,26,0,112,8,55,3,4,0,50,2
17950,Elk Grove,CA,145,186.1645,355000.0,18,10,48,27,39,48,1,2,49,24
47250,Pueblo,CO,146,114.2748,151335.0,1,0,4,0,5,2,1,0,6,0
11529,Fredericksburg,VA,147,136.2303,268645.0,9,9,50,17,26,21,0,1,30,11
30742,Cape Coral,FL,148,121.9711,187450.0,5,3,6,2,8,16,0,2,9,1
7221,Springfield,MA,149,122.4737,150215.0,25,31,104,30,63,40,6,5,48,22
19892,Pembroke Pines,FL,150,158.6126,236350.0,47,49,80,68,85,156,5,9,67,50
19523,Murfreesboro,TN,151,109.3212,190125.0,23,3,89,15,48,17,3,3,47,5
39931,Naperville,IL,152,156.5577,368825.0,88,44,450,72,291,123,20,9,288,56
40298,Peoria,AZ,153,127.6281,245750.0,38,54,176,131,119,123,7,17,94,53
4655,Fairfax,VA,154,287.9558,478250.0,151,189,1240,876,413,476,38,81,425,332
54311,Santa Clarita,CA,155,281.1319,465000.0,57,23,296,56,149,77,6,7,116,31
20008,Pomona,CA,156,258.4866,356800.0,105,22,394,43,279,103,14,17,224,38
30559,Boynton Beach,FL,157,134.3839,216875.0,28,17,51,20,60,67,5,3,45,22
7353,Syracuse,NY,158,60.1309,79175.0,1,0,14,6,3,16,0,0,2,9
20317,Salem,OR,159,141.5482,229485.0,2,4,34,1,10,11,5,0,14,2
32060,Hollywood,FL,160,169.4039,231950.0,47,55,80,77,85,166,5,11,67,56
19873,Paterson,NJ,161,92.4426,174500.0,227,239,1548,809,552,548,76,56,518,251
5519,Lakewood,CO,162,216.1533,328550.0,2096,56,11738,172,5950,168,586,15,5548,68
10071,Alexandria,VA,163,364.6183,490825.0,160,187,1266,876,418,476,40,81,429,331
31184,Dayton,OH,164,57.3852,69315.0,7,7,44,18,19,12,0,1,24,14
28065,Yuma,AZ,165,101.2027,153300.0,0,0,0,0,0,1,0,0,0,0
54626,Sunnyvale,CA,166,811.7866,1135300.0,173,102,1276,679,199,151,50,33,236,62
21114,Visalia,CA,167,127.3874,209700.0,0,0,0,0,0,2,0,0,0,0
4054,Charleston,SC,168,165.3791,277250.0,1,6,11,11,2,9,0,2,4,8
3806,Bridgeport,CT,169,101.9065,141750.0,49,27,154,58,89,57,6,3,104,25
38438,Eugene,OR,170,167.1322,260100.0,0,1,3,2,1,5,0,0,0,2
11337,Escondido,CA,171,266.63,441500.0,24,14,139,33,92,43,9,3,89,11
6183,Newark,DE,172,128.5154,220100.0,27,8,192,51,77,45,11,1,88,16
5052,Hampton,VA,173,109.2262,169125.0,2,5,42,21,19,43,1,2,28,22
47019,Pasadena,CA,174,494.7606,725100.0,106,65,467,203,298,246,16,21,230,87
54722,Torrance,CA,175,452.8798,710750.0,104,67,471,205,305,238,15,21,230,84
4174,Columbia,SC,176,102.6033,157700.0,10,10,11,7,11,21,16,12,12,8
12694,Mesquite,TX,177,86.2867,139071.95,75,82,456,261,259,214,22,30,262,97
24812,Fullerton,CA,178,353.8033,542625.0,108,70,439,183,289,305,15,29,231,106
21159,Warren,MI,179,87.7166,112275.0,82,47,179,125,93,105,14,16,100,67
32783,McKinney,TX,180,118.3259,286170.95,73,29,450,125,255,86,24,9,252,45
13480,Renton,WA,181,206.9977,367475.0,36,112,354,458,123,232,5,24,99,123
51260,Canton,OH,182,75.8589,113385.0,3,6,18,13,10,28,0,0,7,8
5914,Metairie,LA,183,137.0154,218700.0,4,4,28,7,16,15,0,2,12,5
47570,Santa Maria,CA,184,211.1514,362400.0,0,0,3,0,3,7,0,0,0,0
45888,Inglewood,CA,185,288.3339,361000.0,106,71,451,211,295,250,15,23,220,92
33252,Orange,CA,186,347.6309,593700.0,103,39,401,88,281,183,15,23,224,71
6155,New Haven,CT,187,138.3904,206750.0,45,7,173,24,94,27,7,3,94,11
44821,Cumming,GA,188,112.4866,285435.0,113,26,433,111,247,121,13,7,234,76
398007,Flint,MI,189,21.179000000000002,37500.0,17,0,40,0,16,3,4,0,16,0
24174,Compton,CA,190,263.5416,318050.0,107,78,476,216,309,283,15,29,236,106
3619,Bellevue,WA,191,353.0284,676850.0,36,107,354,457,123,229,5,24,99,122
54263,Saginaw,MI,192,58.2746,85450.0,0,1,1,0,1,28,0,0,0,0
39815,Miramar,FL,193,156.4778,298015.0,2096,49,11738,68,5950,156,586,9,5548,50
8814,Queen Creek,AZ,194,107.1458,224300.0,37,21,167,57,117,68,7,5,93,31
17571,Coral Springs,FL,195,149.0506,312425.0,2096,30,11738,44,5950,101,586,7,5548,40
17882,East Los Angeles,CA,196,392.0292,375000.0,2096,76,11738,211,5950,263,586,27,5548,94
11786,Hamilton,OH,197,93.0004,166350.0,20,37,90,62,59,82,2,7,76,40
5071,Hartford,CT,198,108.0031,139150.0,25,30,113,37,64,57,7,8,51,33
27239,Stamford,CT,199,244.9612,430750.0,204,45,1355,74,507,100,53,8,481,52
47584,Savannah,GA,200,96.2609,147800.0,0,0,0,0,1,17,0,2,0,2
27110,Simi Valley,CA,201,294.7953,513000.0,66,20,341,51,174,62,6,9,135,29
51518,Concord,CA,202,339.5067,511850.0,161,40,1020,166,181,94,45,24,219,44
47847,Sterling Heights,MI,203,111.8417,171550.0,82,44,192,124,96,101,14,16,106,66
18208,Frisco,TX,205,122.6307,372504.95,82,59,482,194,280,162,24,27,286,83
32238,Joliet,IL,206,92.3701,142575.0,79,22,386,38,250,62,17,2,231,32
17321,Carrollton,TX,207,118.5793,232238.9,83,128,487,287,283,274,24,35,293,123
16726,Allentown,PA,208,88.9775,120250.0,19,6,99,4,59,17,8,0,66,5
